Var1	Freq
1	Di- and mesencephalon inhibitory neurons	3
2	Non-telencephalon astrocytes, fibrous; mouse	8
3	Cholinergic and monoaminergic neurons	10
4	Telencephalon astrocytes, fibrous; mouse	22
5	Subventricular zone radial glia-like cells	30
6	Cholinergic interneurons; mouse	48
7	Dopaminergic neurons; mouse	49
8	Telencephalon inhibitory interneurons	81
9	Dorsal midbrain Myoc-expressing astrocyte-like; mouse	394
10	Vascular leptomeningeal cells; mouse	1763
11	Non-glutamatergic neuroblasts	2477
12	Dentate gyrus radial glia-like cells	2990
