"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"C1orf61" 0 3.87754703501857 0.954 0.259 0 "0" "C1orf61"
"GFAP" 0 3.5453303198266 0.963 0.317 0 "0" "GFAP"
"AQP4" 0 3.37432225173074 0.973 0.228 0 "0" "AQP4"
"JUNB" 0 3.13679668447776 0.983 0.523 0 "0" "JUNB"
"GADD45B" 0 2.95236262668267 0.978 0.544 0 "0" "GADD45B"
"ZFP36" 0 2.88090439468635 0.896 0.282 0 "0" "ZFP36"
"SOCS3" 0 2.85612319445661 0.831 0.126 0 "0" "SOCS3"
"FOS" 0 2.82201190496079 0.982 0.635 0 "0" "FOS"
"RND1" 0 2.73812148462376 0.845 0.206 0 "0" "RND1"
"S100B" 0 2.68663797313277 0.987 0.527 0 "0" "S100B"
"MT3" 0 2.61692309107125 0.832 0.226 0 "0" "MT3"
"ID4" 0 2.5869164776468 0.989 0.547 0 "0" "ID4"
"HOPX" 0 2.54338710925445 0.805 0.127 0 "0" "HOPX"
"APOE" 0 2.43006825229591 0.998 0.799 0 "0" "APOE"
"JUN" 0 2.42866935222468 0.987 0.772 0 "0" "JUN"
"CRYAB" 0 2.32355064402246 0.945 0.642 0 "0" "CRYAB"
"MT1E" 0 2.3132992084441 0.808 0.163 0 "0" "MT1E"
"IER2" 0 2.28342390946781 0.951 0.441 0 "0" "IER2"
"NDRG2" 0 2.2608501601053 0.978 0.476 0 "0" "NDRG2"
"TTYH1" 0 2.2258305679252 0.961 0.363 0 "0" "TTYH1"
"ID2" 0 2.21621274179712 0.885 0.238 0 "0" "ID2"
"BCAN" 0 2.14145251127739 0.854 0.096 0 "0" "BCAN"
"GPM6A" 0 2.07206468662025 0.927 0.242 0 "0" "GPM6A"
"EGR1" 0 2.03738454782021 0.901 0.418 0 "0" "EGR1"
"SLC1A3" 0 2.02256455518908 0.834 0.128 0 "0" "SLC1A3"
"SPARCL1" 0 2.01690916007023 0.998 0.904 0 "0" "SPARCL1"
"VCAM1" 0 2.00413137805194 0.662 0.066 0 "0" "VCAM1"
"DBI" 0 1.97411273666143 0.973 0.743 0 "0" "DBI"
"SCRG1" 0 1.97184829995195 0.873 0.209 0 "0" "SCRG1"
"DDIT3" 0 1.93383922435092 0.894 0.5 0 "0" "DDIT3"
"AGT" 0 1.87879728031214 0.943 0.485 0 "0" "AGT"
"IRF1" 0 1.8557782090186 0.847 0.345 0 "0" "IRF1"
"ITM2C" 0 1.8368130724915 0.993 0.869 0 "0" "ITM2C"
